Unit 8-1,pencil,えんぴつ
Unit 8-1,scissors,[複数あつかい]はさみ
Unit 8-1,glue,接着剤、のり
Unit 8-1,stapler,ホッチキス
Unit 8-1,notebook,ノート
Unit 8-1,stationery,文房具
Unit 8-2,get,…を得る、受け取る、手に入れる
Unit 8-2,try,(…を)試す、やってみる、努力する
Unit 8-2,teach,…に(〜を)教える
Unit 8-2,build,…を建てる、つくる
Unit 8-2,reduce,…を減らす、縮小する
Unit 8-2,collect,…を集める
Unit 8-2,become,…になる
Unit 8-2,borrow,…を借りる
Unit 8-2,straw,ストロー
Unit 8-2,bag,かばん、バッグ、ふくろ
Unit 8-2,poster,ポスター、広告
Unit 8-2,picture,絵、絵画、写真
Unit 8-2,river,川
Unit 8-2,rain,雨
Unit 8-2,well,井戸
Unit 8-2,water,水
Unit 8-2,bean,豆
Unit 8-2,potato,ジャガイモ
Unit 8-2,meat,肉
Unit 8-2,chicken,とり肉、チキン
Unit 8-2,sausage,ソーセージ
Unit 8-2,tomato,トマト
Unit 8-2,vegetable,野菜
Unit 8-2,mushroom,キノコ
Unit 8-2,next,次の、今度の、となりの
Unit 8-2,full,いっぱいの、満腹の
Unit 8-2,hungry,空腹の、飢えた
Unit 8-2,thirsty,のどのかわいた
Unit 8-2,far,遠い
Unit 8-2,local,(ある)地方の、地元の
Unit 8-2,ethnic,民族(特有)の
Unit 8-2,original,独創的な、独自の
Unit 8-2,sister,姉、妹、姉妹
Unit 8-2,brother,兄、弟、兄弟
Unit 8-2,cousin,いとこ
Unit 8-2,child,子供
Unit 8-2,children,子供たち(childの複数形)
Unit 8-2,server,給仕、ウェイター
Unit 8-2,group,グループ、団体
Unit 8-2,volunteer,ボランティア
Unit 8-3,hero,英雄、ヒーロー
Unit 8-3,singer,歌手
Unit 8-3,voice,声
Unit 8-3,word,歌詞
Unit 8-3,dome,ドーム
Unit 8-3,stage,舞台、ステージ
Unit 8-3,concert,演奏会、コンサート
Unit 8-3,performance,演技、演奏、公演
Unit 8-3,cook,(…を)料理する
Unit 8-3,dance,おどる、ダンスをする
Unit 8-3,save,…を救う
Unit 8-3,cheer,…を元気づける
Unit 8-3,like,…を好む、…が好きである
Unit 8-3,look,…(のよう)に見える
Unit 8-3,raise,…を上げる
Unit 8-3,respect,…を尊敬する、尊重する
Unit 8-3,job,職、仕事
